iter	Passed	Remaining
0	162	243986
1	178	133599
2	191	95631
3	203	76174
4	213	63948
5	224	55933
6	233	49768
7	241	45106
8	250	41543
9	259	38674
10	268	36400
11	276	34327
12	285	32703
13	293	31198
14	303	30032
15	311	28864
16	318	27812
17	326	26862
18	334	26077
19	342	25321
20	349	24640
21	357	24005
22	364	23421
23	372	22900
24	380	22445
25	387	21975
26	395	21594
27	403	21211
28	410	20841
29	417	20466
30	424	20134
31	432	19824
32	438	19508
33	446	19261
34	454	19006
35	461	18774
36	469	18548
37	477	18362
38	484	18161
39	492	17991
40	500	17800
41	507	17628
42	514	17438
43	521	17272
44	530	17157
45	538	17023
46	546	16889
47	554	16766
48	562	16651
49	570	16541
50	578	16441
51	587	16360
52	596	16281
53	604	16197
54	613	16110
55	621	16021
56	629	15938
57	636	15835
58	644	15745
59	652	15656
60	660	15573
61	667	15481
62	675	15400
63	682	15311
64	689	15229
65	695	15119
66	703	15046
67	711	14979
68	718	14894
69	726	14833
70	733	14765
71	741	14711
72	749	14642
73	756	14581
74	764	14526
75	771	14464
76	779	14407
77	786	14346
78	795	14312
79	803	14264
80	811	14219
81	819	14170
82	827	14130
83	835	14084
84	843	14046
85	851	13997
86	859	13951
87	866	13897
88	874	13862
89	881	13806
90	889	13773
91	896	13718
92	904	13677
93	911	13631
94	918	13587
95	926	13555
96	934	13519
97	942	13480
98	950	13445
99	957	13411
100	965	13379
101	974	13350
102	981	13307
103	989	13280
104	996	13244
105	1004	13212
106	1012	13179
107	1019	13145
108	1027	13109
109	1034	13075
110	1042	13042
111	1049	13006
112	1057	12976
113	1064	12944
114	1072	12919
115	1080	12889
116	1088	12864
117	1095	12827
118	1104	12814
119	1111	12778
120	1115	12716
121	1123	12690
122	1131	12662
123	1138	12631
124	1145	12599
125	1153	12576
126	1160	12549
127	1168	12529
128	1172	12462
129	1181	12448
130	1189	12426
131	1196	12402
132	1204	12378
133	1211	12353
134	1219	12330
135	1226	12304
136	1235	12287
137	1242	12263
138	1249	12238
139	1257	12214
140	1265	12192
141	1272	12168
142	1280	12151
143	1288	12132
144	1296	12111
145	1303	12093
146	1311	12071
147	1319	12056
148	1327	12035
149	1336	12029
150	1344	12010
151	1352	11992
152	1360	11975
153	1368	11961
154	1376	11943
155	1383	11921
156	1391	11901
157	1399	11883
158	1406	11866
159	1415	11854
160	1423	11838
161	1431	11824
162	1439	11807
163	1447	11793
164	1455	11774
165	1459	11725
166	1467	11710
167	1475	11695
168	1482	11679
169	1490	11660
170	1498	11646
171	1506	11628
172	1513	11612
173	1521	11598
174	1530	11585
175	1537	11563
176	1545	11551
177	1553	11534
178	1561	11527
179	1570	11514
180	1578	11503
181	1586	11487
182	1594	11473
183	1601	11455
184	1609	11442
185	1617	11424
186	1624	11408
187	1632	11391
188	1640	11377
189	1648	11364
190	1655	11346
191	1663	11334
192	1671	11318
193	1679	11306
194	1687	11290
195	1695	11279
196	1699	11239
197	1708	11231
198	1715	11218
199	1723	11200
200	1731	11187
201	1739	11177
202	1743	11142
203	1751	11129
204	1759	11112
205	1766	11099
206	1775	11088
207	1783	11077
208	1790	11063
209	1798	11045
210	1806	11037
211	1813	11020
212	1823	11017
213	1828	10985
214	1836	10978
215	1844	10962
216	1852	10954
217	1860	10942
218	1869	10933
219	1876	10918
220	1884	10907
221	1891	10889
222	1899	10877
223	1908	10869
224	1916	10859
225	1924	10846
226	1932	10835
227	1940	10824
228	1947	10811
229	1956	10800
230	1963	10787
231	1970	10770
232	1978	10757
233	1986	10746
234	1993	10730
235	2001	10719
236	2008	10705
237	2017	10696
238	2024	10681
239	2032	10669
240	2039	10656
241	2047	10646
242	2055	10631
243	2062	10614
244	2069	10600
245	2077	10587
246	2084	10575
247	2092	10561
248	2099	10550
249	2107	10537
250	2117	10535
251	2124	10522
252	2132	10512
253	2140	10498
254	2148	10490
255	2156	10480
256	2164	10470
257	2171	10455
258	2180	10446
259	2187	10434
260	2195	10420
261	2202	10406
262	2209	10393
263	2216	10379
264	2224	10366
265	2231	10352
266	2238	10338
267	2245	10324
268	2253	10312
269	2261	10300
270	2268	10287
271	2273	10263
272	2280	10250
273	2288	10238
274	2295	10223
275	2302	10210
276	2309	10197
